-,-,-
-235, -360, 872
-243, -347, 821
-262, -323, 963
-227, -343, 979
-227, -343, 979
-196, -385, 942
-152, -431, 892
-166, -368, 959
-196, -236, 989
-217, -126, 983
-222, 8, 1004
-292, 603, 1189
-240, 1193, 974
164, 887, 726
505, 158, 954
539, -520, 1290
439, -961, 1237
294, -1292, 1140
231, -1771, 1131
285, -1998, 1115
374, -1705, 899
342, -1002, 792
342, -1002, 792
235, -453, 956
140, -49, 1201
35, 210, 1252
-23, 299, 1160
-76, 334, 1136
-,-,-
-208, -352, 979
-190, -387, 1211
-98, -315, 1107
-74, -188, 930
-94, -75, 970
-85, -27, 1051
-80, 92, 1176
-153, 562, 1359
-63, 974, 1176
164, 847, 953
164, 847, 953
354, 529, 988
495, 172, 1123
559, -443, 1105
486, -1139, 1038
334, -1521, 1038
297, -1678, 1114
310, -1760, 1092
436, -1825, 939
534, -1583, 1010
510, -919, 1155
379, -401, 1077
305, -11, 1126
224, 347, 1166
132, 602, 1160
63, 704, 1131
63, 704, 1131
22, 650, 1197
9, 462, 1244
-,-,-
-205, -276, 1013
-86, -233, 1148
-53, -91, 1112
-33, 41, 1035
-47, 113, 1065
-41, 170, 1164
-41, 170, 1164
-44, 239, 1238
-103, 578, 1396
-83, 965, 1318
168, 968, 1016
447, 350, 518
-,-,-
-201, -249, 716
-213, -509, 779
-195, -528, 1132
-228, -347, 1085
-207, -103, 986
-94, 52, 1006
-22, 168, 1061
0, 292, 1135
-25, 514, 1220
15, 752, 1259
15, 752, 1259
170, 1061, 1259
425, 969, 1130
628, 693, 1248
751, 483, 1262
892, -123, 812
766, -960, 864
564, -1607, 1217
408, -1914, 1207
350, -1888, 1169
318, -1692, 1071
299, -1641, 955
256, -1269, 1032
186, -814, 1022
132, -388, 980
116, -139, 901
116, -139, 901
127, 20, 918
124, 148, 1038
106, 287, 1216
65, 371, 1252
-,-,-
-186, -176, 1066
-140, -208, 1036
-75, -144, 942
-57, -21, 1023
-70, 294, 1151
-62, 634, 1186
58, 728, 1197
167, 741, 1201
315, 508, 1269
315, 508, 1269
440, 49, 1153
387, -474, 819
253, -870, 709
146, -1219, 868
69, -1401, 1076
60, -1451, 1047
135, -1488, 823
210, -1326, 709
174, -1014, 861
157, -671, 1200
169, -259, 1282
148, 62, 1118
148, 62, 1118
111, 245, 1063
37, 355, 1159
-26, 409, 1184
-,-,-
-186, -143, 986
-141, -201, 1414
-90, -174, 1256
-16, -63, 1134
-39, 163, 1103
-156, 766, 1187
-148, 1069, 1120
143, 629, 1060
249, 184, 885
249, 184, 885
178, -79, 966
104, -352, 995
63, -707, 965
53, -986, 896
33, -1273, 871
33, -1273, 871
37, -1564, 995
159, -1801, 857
252, -1601, 901
232, -1022, 1091
147, -431, 1192
51, 5, 1262
15, 326, 1156
7, 517, 1066
0, 548, 1038
0, 548, 1038
-17, 452, 1069
-43, 338, 1124
-61, 176, 1082
-80, 20, 1060
-,-,-
-208, -217, 912
-183, -219, 1233
-113, -176, 1068
-66, -101, 991
-73, -24, 1114
-74, 166, 1239
-151, 733, 1252
-122, 990, 1152
118, 623, 1079
118, 623, 1079
191, 315, 1001
175, 135, 959
219, -207, 905
222, -769, 822
133, -1287, 952
149, -1673, 983
165, -1756, 779
174, -1588, 698
161, -1146, 963
100, -705, 1190
51, -290, 1234
51, -290, 1234
8, 0, 1142
-12, 187, 1037
-5, 315, 1089
-5, 357, 1081
13, 341, 1094
13, 341, 1094
-13, 246, 1073
-45, 93, 1057
-,-,-
-130, -180, 969
-95, -203, 1180
-9, -178, 1147
-9, -178, 1147
-4, -86, 1297
-54, 197, 1549
-147, 904, 1530
-36, 955, 1240
-,-,-
-71, -1488, 755
-71, -1488, 755
-8, -1392, 880
-13, -1081, 1075
-35, -672, 1156
-51, -458, 1003
-36, -257, 977
-,-,-
-59, -327, 1095
-134, -249, 1206
-180, -274, 978
-182, -466, 850
-178, -642, 793
-216, -754, 685
-193, -944, 784
-164, -1203, 773
-99, -1010, 953
-122, -669, 1145
-114, -390, 1122
-83, -278, 910
-11, -219, 970
-14, -1, 1204
-14, -1, 1204
-41, 322, 1206
-38, 499, 902
-38, 498, 970
-30, 433, 1128
-27, 329, 1123
-19, 142, 1119
-33, 29, 1259
-33, 29, 1259
-78, 34, 1272
-,-,-
-265, -162, 934
-239, -152, 943
-204, -58, 996
-203, 50, 1023
-203, 50, 1023
-192, 127, 1046
-169, 204, 1069
-126, 309, 1062
-118, 552, 1109
-167, 1125, 1071
-58, 1254, 930
156, 998, 973
330, 597, 954
419, -91, 1036
303, -1035, 1315
214, -1494, 1382
245, -1454, 1005
199, -1417, 862
131, -1422, 1039
158, -1304, 1158
200, -807, 1197
123, -157, 1332
-84, 558, 1091
-84, 558, 1091
-198, 838, 811
-136, 665, 980
-49, 350, 1118
-38, 227, 1252
-,-,-
-209, -191, 724
-174, -234, 1065
-103, -267, 1203
-11, -316, 1091
118, -101, 1171
122, 396, 1336
-23, 1197, 1303
-87, 1793, 1047
207, 1429, 1177
510, 633, 1407
570, -20, 1139
522, -606, 566
522, -606, 566
425, -1371, 603
355, -1988, 991
329, -1998, 1381
328, -1933, 1398
175, -1309, 905
62, -715, 920
31, -225, 1093
34, 298, 1192
46, 986, 1028
57, 1227, 944
111, 897, 1078
111, 897, 1078
111, 415, 1209
24, 18, 1206
-56, -217, 1144
-119, -383, 1011
-,-,-
-180, -231, 957
-180, -231, 957
-169, -261, 1140
-109, -295, 1151
-13, -229, 1252
89, 15, 1399
89, 756, 1534
140, 1049, 1493
314, 596, 1410
-,-,-
190, 114, 866
185, -126, 261
122, -736, 235
68, -1581, 814
64, -1998, 1069
114, -1998, 1079
70, -1681, 1138
-80, -954, 1061
-99, -500, 848
-4, -171, 781
-4, -171, 781
67, 4, 1092
162, 193, 1212
191, 414, 1230
175, 465, 1261
127, 280, 1139
58, 33, 1094
-,-,-
-194, -214, 824
-190, -299, 1161
-121, -336, 970
-86, -331, 974
-48, -325, 1154
36, -229, 1225
84, 175, 1439
63, 562, 1538
80, 545, 1648
-,-,-
-116, -1852, 653
-116, -1852, 653
-198, -1499, 1263
-205, -947, 921
-205, -553, 890
-205, -553, 890
-168, -343, 876
-96, -276, 805
-,-,-
91, 41, 1009
80, 0, 928
54, -56, 983
54, -56, 983
34, -101, 1052
128, -45, 1055
332, 205, 1134
602, 606, 1312
774, 1061, 1463
827, 1154, 1325
784, 990, 982
642, 744, 724
642, 744, 724
466, 303, 618
189, -464, 745
-171, -1497, 1143
-624, -1998, 1524
-841, -1859, 1505
-697, -1130, 1077
-404, -378, 663
-132, 169, 481
73, 507, 520
211, 646, 713
241, 646, 930
247, 605, 1027
247, 605, 1027
260, 552, 1042
-,-,-
42, 3, 934
42, 3, 934
83, 35, 955
98, 148, 1033
163, 224, 1065
290, 310, 998
290, 310, 998
398, 454, 1015
443, 631, 1143
467, 698, 1242
501, 698, 1152
469, 660, 999
435, 466, 858
268, 12, 806
268, 12, 806
-8, -629, 964
-231, -1305, 1196
-476, -1677, 1395
-631, -1546, 1394
-559, -1170, 1091
-374, -674, 844
-86, -194, 686
206, 226, 650
428, 574, 770
492, 714, 929
474, 703, 1093
474, 703, 1093
430, 666, 1113
-,-,-
115, -9, 994
131, -32, 973
136, -87, 903
136, -87, 903
108, -139, 926
56, -138, 1026
105, -50, 1093
259, 146, 1081
473, 456, 1123
673, 996, 1313
750, 1308, 1294
803, 1237, 972
803, 1237, 972
767, 868, 669
541, 218, 645
184, -637, 898
-165, -1415, 1170
-341, -1747, 1250
-440, -1711, 1195
-501, -1310, 1101
-324, -736, 888
-14, -185, 764
271, 278, 845
453, 584, 991
489, 655, 1075
424, 536, 1144
-,-,-
170, -67, 872
170, -67, 872
148, -55, 889
65, -28, 1066
53, 4, 1113
151, 84, 1037
151, 84, 1037
297, 270, 985
428, 605, 1101
557, 992, 1237
596, 1150, 1202
631, 1037, 992
549, 795, 783
426, 387, 736
426, 387, 736
244, -256, 835
61, -1002, 1027
-75, -1650, 1195
-275, -1996, 1386
-449, -1878, 1427
-403, -1218, 1241
-166, -526, 829
92, 47, 625
311, 451, 670
422, 660, 803
432, 689, 907
432, 689, 907
444, 608, 943
396, 455, 1009
-,-,-
141, -140, 932
171, -141, 826
166, -105, 869
172, 10, 992
256, 233, 1145
256, 233, 1145
451, 480, 1180
612, 727, 1203
674, 919, 1202
654, 950, 1146
594, 842, 1031
541, 502, 874
411, 80, 751
411, 80, 751
258, -286, 785
176, -864, 875
32, -1680, 1118
-258, -1998, 1476
-477, -1778, 1552
-371, -948, 1223
-143, -340, 735
75, -23, 507
228, 185, 594
299, 302, 737
340, 312, 808
340, 312, 808
368, 285, 938
369, 272, 1076
-,-,-
199, -127, 876
220, -94, 890
220, -94, 890
236, 17, 991
342, 188, 1068
526, 437, 1099
730, 798, 1186
822, 1067, 1182
808, 1040, 1042
714, 819, 846
714, 819, 846
593, 395, 681
405, -151, 637
199, -892, 818
-59, -1842, 1172
-450, -1998, 1627
-599, -1829, 1723
-411, -1026, 1266
-88, -366, 676
138, 16, 444
289, 212, 636
347, 264, 809
382, 326, 913
382, 326, 913
395, 406, 1020
385, 401, 1095
327, 320, 1125
296, 261, 1088
-,-,-
149, -38, 1001
201, -171, 876
178, -307, 801
98, -278, 934
71, -192, 1046
71, -192, 1046
183, 6, 1082
391, 314, 1043
625, 717, 1051
838, 1069, 1126
933, 1180, 1117
877, 999, 1009
714, 559, 909
504, 47, 826
504, 47, 826
304, -627, 799
30, -1352, 963
-246, -1890, 1281
-466, -1932, 1472
-445, -1362, 1379
-236, -612, 1006
8, -114, 677
210, 151, 601
305, 241, 761
344, 264, 928
344, 264, 928
363, 240, 1029
341, 177, 1104
317, 146, 1152
291, 128, 1123
258, 97, 1068
246, 47, 1003
-,-,-
243, -104, 931
243, -129, 907
243, -129, 907
244, -89, 909
232, 0, 1036
284, 193, 1143
425, 534, 1238
537, 873, 1274
526, 980, 1195
532, 762, 1043
532, 762, 1043
536, 320, 706
411, -253, 539
226, -1015, 706
-3, -1658, 1038
-243, -1817, 1300
-361, -1377, 1389
-240, -744, 1180
-38, -283, 841
140, -15, 755
255, 54, 832
292, 51, 951
292, 51, 951
271, 70, 1052
265, 167, 1100
281, 259, 1097
275, 256, 1064
252, 191, 1043
217, 112, 1019
207, 75, 996
-,-,-
176, -87, 914
236, -126, 800
176, -153, 861
150, -103, 998
170, -57, 1061
251, 23, 1065
251, 23, 1065
379, 177, 1057
587, 556, 1198
772, 1098, 1351
838, 1329, 1235
833, 1203, 990
761, 796, 684
588, 172, 491
588, 172, 491
336, -562, 557
81, -1309, 836
-144, -1927, 1145
-337, -1998, 1357
-501, -1912, 1424
-423, -1265, 1266
-92, -533, 989
272, 87, 828
554, 522, 848
665, 803, 989
652, 884, 1035
556, 751, 1018
424, 473, 1045
424, 473, 1045
306, 155, 1081
206, -83, 1100
-,-,-
143, -180, 1043
202, -145, 934
225, -135, 782
221, -97, 868
250, 57, 1076
334, 397, 1218
334, 397, 1218
484, 843, 1295
568, 1188, 1259
561, 1208, 1148
587, 1002, 898
590, 438, 521
465, -451, 512
311, -1615, 895
-1, -1998, 1419
-360, -1994, 1667
-400, -1420, 1422
-183, -610, 897
73, -104, 630
266, 189, 701
266, 189, 701
377, 362, 845
421, 476, 930
422, 527, 989
416, 536, 1069
357, 422, 1170
288, 266, 1200
-,-,-
247, -105, 883
218, -212, 876
218, -212, 876
193, -248, 912
161, -161, 1096
222, 10, 1183
362, 267, 1167
499, 580, 1196
579, 871, 1250
537, 965, 1253
499, 818, 1078
499, 818, 1078
483, 473, 710
362, -23, 577
227, -654, 722
98, -1261, 954
6, -1783, 1125
-207, -1832, 1349
-313, -1289, 1346
-138, -569, 1040
96, -49, 800
228, 166, 790
228, 166, 790
271, 276, 893
286, 379, 977
299, 483, 1012
-,-,-
126, -116, 1019
137, -95, 977
149, -149, 958
159, -139, 968
140, -84, 1028
186, 35, 1074
186, 35, 1074
292, 311, 1153
380, 734, 1270
406, 1112, 1274
438, 1171, 1077
483, 946, 770
472, 359, 567
414, -595, 620
231, -1591, 1058
-18, -1993, 1474
-206, -1962, 1504
