-,-,-
-910, 121, 246
-910, 121, 246
-975, 150, 227
-963, 177, 333
-916, 137, 366
-912, 104, 362
-954, 96, 317
-974, 123, 292
-1008, 133, 348
-1215, 234, 521
-1275, 380, 564
-1082, 319, 523
-1343, 245, 715
-1343, 245, 715
-1424, 179, 882
-1327, 163, 935
-1216, 40, 597
-672, -67, 34
-259, 131, -253
-183, 239, -62
124, 193, -10
-44, 114, -115
-16, 62, -20
-16, 62, -20
-513, 18, -8
-1253, 57, 296
-1736, 269, 776
-,-,-
-951, 161, 319
-919, 120, 228
-999, 173, 380
-960, 141, 462
-936, 97, 372
-861, 51, 299
-861, 51, 299
-866, 27, 353
-1134, 132, 601
-1321, 329, 694
-1375, 419, 776
-1458, 383, 1031
-1769, 218, 994
-1099, -7, 428
-761, -165, 85
-401, -125, -147
-155, 64, -262
158, 205, -70
158, 205, -70
-87, 219, 81
-16, 161, 45
-181, 30, 218
-843, -80, 299
-1658, 98, 679
-1658, 98, 679
-,-,-
-973, 206, 323
-874, 154, 285
-910, 154, 247
-887, 164, 336
-898, 162, 523
-951, 145, 358
-902, 125, 342
-887, 83, 444
-1112, 142, 608
-1405, 246, 961
-1405, 246, 961
-1679, 365, 1051
-1753, 589, 1042
-1016, 310, 627
-1071, -97, 351
-1174, 9, 142
-405, 177, -248
87, 206, -158
-20, 143, 147
19, 118, 282
-111, 194, 484
-111, 194, 484
-87, 109, 272
-409, -64, 114
-1150, 22, 470
-1582, 401, 1034
-1263, 531, 1249
-840, 313, 993
-852, 39, 632
-996, -84, 458
-1117, 40, 380
-1160, 257, 486
-1063, 359, 566
-,-,-
-957, 185, 339
-957, 185, 339
-1011, 204, 426
-953, 203, 617
-883, 220, 577
-893, 175, 436
-951, 138, 395
-1121, 193, 710
-1216, 223, 1057
-1333, 193, 1179
-1754, 353, 1104
-1348, 305, 449
-928, 98, 308
-808, 58, 364
-808, 58, 111
-607, 149, 111
-44, 279, -62
222, 227, 206
58, 173, 410
50, 119, 471
50, 119, 471
-88, 182, 572
-10, 172, 361
-11, -43, 33
-736, -76, 119
-1622, 176, 690
-1271, 391, 943
-1091, 401, 1013
-1124, 213, 916
-1124, 213, 916
-1098, 28, 649
-1220, 10, 543
-1332, 105, 508
-1177, 196, 446
-981, 203, 372
-,-,-
-900, 199, 196
-914, 188, 320
-952, 281, 401
-926, 229, 358
-890, 130, 347
-863, 72, 387
-877, 48, 405
-877, 42, 402
-877, 42, 402
-1016, 118, 563
-1377, 336, 923
-1502, 272, 1142
-1985, 353, 1435
-1596, 411, 877
-937, 33, 228
-1339, -85, 246
-985, 103, -95
-39, 381, -301
330, 211, -21
330, 211, -21
171, 114, 292
174, 126, 403
-15, 220, 430
-53, 147, 382
86, -51, 93
86, -51, 93
-439, -190, -131
-1447, -67, 190
-1861, 310, 900
-1378, 408, 1142
-1222, 189, 1002
-1122, -22, 688
-1169, -120, 526
-1478, -52, 389
-1420, 70, 293
-1136, 122, 167
-,-,-
-1025, 117, 189
-882, 108, 103
-869, 53, 158
-1031, 40, 313
-1026, 63, 494
-950, 30, 388
-950, 30, 388
-922, -46, 290
-965, -61, 380
-1208, 67, 622
-1491, 169, 920
-1509, 228, 869
-1926, 430, 1147
-1742, 206, 1102
-1093, -215, 241
-774, -220, -138
-504, -117, -233
-387, 180, -249
-59, 330, -71
293, 331, 81
164, 228, 285
164, 228, 285
-184, 114, 374
-277, -95, 137
-1014, -65, 339
-1052, 0, 728
-1135, 134, 866
-1520, 216, 1196
-1220, 174, 1032
-1058, 98, 632
-1058, 9, 530
-1078, 38, 359
-1078, 38, 359
-1016, 106, 198
-,-,-
-875, 62, 85
-875, 62, 85
-846, 37, 88
-894, 30, 269
-987, 77, 414
-940, 72, 429
-940, 72, 429
-923, -2, 494
-990, -30, 513
-1371, 114, 741
-1904, 320, 1368
-1998, 377, 1471
-1641, 327, 742
-1697, -51, 502
-1851, -362, 588
-1141, -88, -453
17, 106, -912
354, 227, -621
137, 126, -209
137, 126, 52
265, 170, 52
73, 344, 237
220, 46, 113
-367, -305, -157
-1327, -273, 286
-1754, 91, 773
-1965, 577, 1445
-1412, 523, 1545
-964, 210, 820
-964, 210, 820
-1006, -120, 420
-1055, -168, 261
-1200, -27, -43
-,-,-
-985, 46, 160
-1054, 118, 254
-964, 126, 256
-878, 21, 165
-950, -28, 216
-966, -2, 415
-966, -2, 415
-973, 2, 501
-1235, 51, 653
-1354, 116, 768
-1685, 205, 975
-1998, 593, 1649
-1824, 300, 1009
-1507, -246, 148
-1252, -359, 21
-1118, -112, -193
-353, 337, -506
487, 323, -434
524, 151, -103
299, 257, 244
85, 265, 459
85, 265, 459
-28, 250, 544
121, 129, 490
-33, -75, 339
-681, -240, 178
-1656, 9, 564
-1656, 9, 564
-1601, 218, 890
-1281, 302, 1002
-1080, 231, 935
-,-,-
-1000, -27, 94
-1000, -27, 319
-1145, 133, 319
-928, 112, 544
-909, -15, 610
-1108, -29, 731
-1364, 99, 789
-1482, 224, 913
-1840, 293, 1537
-1918, 72, 1170
-1471, -92, 438
-1307, -307, 360
-1067, -163, 49
-389, 233, -513
274, 247, -452
455, 235, -142
410, 346, 49
410, 346, 49
252, 327, 139
72, 326, 277
-4, 83, 453
-236, -310, 274
-236, -310, 274
-,-,-
-893, -28, 56
-998, 0, 124
-1103, 116, 321
-944, 145, 316
-836, -54, 367
-879, -200, 327
-1048, -191, 277
-1500, 78, 716
-1500, 78, 716
-1805, 284, 1096
-1998, 422, 1247
-1888, 278, 1328
-1917, -191, 904
-1818, -489, 338
-1224, -473, -345
-755, -167, -563
108, 382, -670
465, 401, -459
453, 207, -137
345, 145, -54
44, 194, -58
91, 12, -47
91, 12, -47
-623, -386, -339
-1944, -115, 380
-1846, 593, 1434
-1205, 553, 1726
-1070, 26, 1006
-1099, -349, 678
-1337, -255, 416
-1278, 58, 140
-1179, 143, 304
-1058, 148, 484
-,-,-
-915, 4, 96
-896, -27, 93
-958, 4, 47
-994, 2, 170
-1019, 16, 390
-1019, 16, 390
-1169, 25, 546
-1338, 108, 669
-1446, 127, 734
-1733, 210, 950
-1998, 398, 1147
-1653, 153, 708
-1761, -143, 489
-1505, -352, 252
-907, -308, -234
-395, 33, -497
-29, 299, -573
248, 287, -398
353, 292, 10
205, 246, 126
205, 246, 126
-239, 236, 128
-255, 133, 178
-487, -258, 95
-1479, -182, 337
-1655, 239, 755
-1349, 447, 1137
-1403, 342, 1021
-1343, 185, 830
-1300, 85, 705
-,-,-
-887, 78, 85
-904, 30, 118
-969, 121, 152
-990, 167, 243
-1048, 178, 182
-1013, 126, 209
-904, 2, 246
-904, 2, 246
-887, -140, 266
-1145, -120, 381
-1450, -8, 672
-1576, 140, 876
-1755, 455, 940
-1717, 522, 811
-1854, 111, 878
-1794, -245, 581
-1369, -217, -36
-645, -79, -487
17, 275, -550
182, 403, -415
195, 298, -250
282, 327, -143
282, 327, -143
-88, 357, 83
-225, 203, 269
-577, -7, 212
-1032, -162, 399
-1056, -108, 352
-1355, 76, 581
-1707, 255, 1026
-1801, 485, 1139
-1406, 558, 888
-1118, 393, 595
-1091, 129, 295
-,-,-
-969, 81, 130
-969, 81, 130
-1030, 167, 113
-1001, 166, 155
-942, 43, 241
-848, -91, 257
-915, -120, 144
-1037, -79, 166
-1490, 82, 583
-1885, 273, 1050
-1998, 356, 1179
-1936, 324, 1000
-1824, 176, 626
-1850, -151, 229
-1356, -447, -201
-899, -257, -374
-20, 244, -547
151, 472, -411
107, 213, -123
107, 213, -123
125, 265, 212
73, 282, 233
-23, 322, 418
60, 154, 429
-117, -144, 65
-117, -144, 65
-685, -395, -153
-1628, -105, 93
-1557, 232, 588
-1534, 264, 724
-1794, 367, 1052
-1604, 489, 986
-1454, 227, 556
-1414, -49, 359
-1307, -23, 42
-1160, -53, 0
-,-,-
-984, -36, 90
-1000, 31, 77
-1000, 31, 77
-990, 21, 197
-1100, 39, 271
-1057, 67, 236
-1148, 73, 312
-1380, 77, 535
-1538, 63, 643
-1675, 199, 721
-1675, 199, 721
-1483, 250, 673
-1563, 138, 510
-1498, -5, 376
-1268, -132, 461
-959, -283, 208
-374, -175, -305
13, 214, -369
-18, 406, -215
-85, 377, -176
-121, 446, 142
-7, 348, 322
-69, 57, 66
-69, 57, 66
-708, -125, 65
-1299, 14, 545
-1435, 369, 669
-1391, 429, 684
-1300, 360, 926
-,-,-
-906, 34, 96
-957, 23, 162
-1019, 65, 243
-924, 67, 250
-890, 26, 269
-1019, -11, 352
-1187, 66, 486
-1270, 83, 681
-1270, 83, 681
-1504, 109, 859
-1570, 204, 820
-1593, 278, 752
-1971, 222, 929
-1563, -71, 555
-917, -275, -119
-466, -277, -326
-285, -49, -156
-190, 273, -228
-36, 359, -293
-23, 367, -142
-86, 449, 111
-266, 309, 209
-558, 44, 207
-558, 44, 207
-836, -138, 227
-1200, -17, 397
-1797, 277, 831
-1667, 403, 1249
-1304, 339, 1208
-1246, 178, 768
-,-,-
-1014, 107, 208
-939, 105, 106
-862, 91, 105
-922, -2, 203
-1064, 8, 350
-1357, 101, 748
-1882, 323, 1149
-1873, 357, 1011
-1483, 202, 690
-1601, 44, 541
-1601, 44, 541
-1966, -53, 566
-1509, -115, 153
-702, -158, -338
-54, -94, -465
105, 275, -290
0, 326, -224
-6, 276, -186
-125, 418, 102
-159, 349, 114
-159, 349, 114
-323, 120, 84
-703, -15, 365
-1250, 16, 515
-1511, 271, 735
-1595, 353, 866
-1345, 318, 1056
-1163, 261, 821
-1209, 171, 439
-,-,-
-1061, 22, 193
-970, -25, 152
-908, -29, 59
-908, -29, 59
-1015, 3, 107
-1077, 19, 214
-1153, 50, 359
-1329, 103, 670
-1536, 126, 1098
-1850, 179, 900
-1849, 218, 361
-1716, 206, 323
-1715, 23, 523
-1489, -119, 149
-977, -233, -254
-757, -101, -253
-234, 62, -167
-86, 307, -244
-86, 307, -244
-117, 280, -245
-14, 260, -17
15, 360, 98
-168, 270, 186
-413, 22, 241
-992, -33, 344
-992, -33, 344
-1305, 101, 481
-1449, 369, 876
-1437, 331, 938
-1237, 225, 1006
-,-,-
-1078, 60, 324
-1078, 60, 324
-1173, 115, 416
-1099, 85, 450
-1315, 47, 654
-1778, 232, 911
-1670, 405, 999
-1472, 176, 667
-1362, -173, 390
-1103, -196, 192
-735, -159, -3
-454, 10, -96
-156, 193, -139
87, 303, -249
1, 251, -258
1, 251, -258
-221, 250, -69
-344, 70, -61
-888, -124, -61
-1486, 110, 400
-1398, 415, 883
-1295, 349, 758
-1452, 219, 940
-,-,-
-1073, -9, 237
-1104, 106, 55
-878, 47, 85
-878, 47, 85
-1280, 47, 490
-1547, 178, 978
-1761, 403, 1195
-1995, 417, 1232
-1733, 220, 661
-1150, -103, 56
-1030, -311, 11
-798, -336, -300
-295, 60, -682
22, 320, -543
107, 287, -403
107, 287, -403
-155, 248, -268
-400, 265, 145
-525, 96, 224
-906, -55, 104
-1390, -24, 401
-,-,-
-979, 15, 113
-993, 2, 57
-985, 35, 40
-1034, 15, 274
-1034, 15, 274
-1383, 103, 730
-1828, 261, 1024
-1982, 443, 1095
-1775, 314, 849
-1411, -28, 412
-1080, -290, -30
-787, -304, -291
-577, -207, -277
-247, 47, -355
-48, 347, -422
-86, 406, -267
-365, 353, 91
-442, 286, 285
-620, 163, 227
-,-,-
-1409, 142, 742
-1259, -30, 347
-1445, 52, 296
-1990, 339, 770
-1909, 184, 1026
-1462, -243, 939
-1408, -342, 216
-628, -177, -537
-148, 188, -762
-194, 358, -626
-224, 378, -426
-192, 443, -168
-,-,-
-1998, 428, 1277
-1474, -27, 737
-1383, -13, 303
-1820, 43, 350
-1400, -311, 259
-880, -192, -262
-384, 128, -491
-25, 418, -379
-32, 499, -250
-,-,-
-1972, 393, 852
-1972, 393, 852
-1492, 246, 572
-1535, 65, 637
-1992, -8, 905
-1517, -250, 583
-913, -428, -299
-541, -339, -380
-260, 69, -525
20, 484, -805
-55, 594, -503
-151, 580, -85
-135, 368, -174
-579, -3, -217
-1578, -25, 337
-1806, 105, 839
-1806, 105, 839
-1534, 279, 1012
-1676, 259, 966
-,-,-
-1124, 9, 225
-1037, -33, 95
-1320, 101, 303
-1612, 290, 658
-1642, 296, 1178
-1969, 328, 1286
-1846, 121, 773
-1349, -223, 276
-1229, -499, -149
-813, -377, -486
-357, 19, -595
184, 413, -638
184, 413, -638
109, 522, -679
-258, 480, -496
-143, 290, -208
-493, -162, -248
-1556, -228, 26
-1998, 94, 855
-1975, 318, 1103
-1690, 358, 1155
-,-,-
-876, -9, 96
-1165, 78, -16
-1165, 78, -16
-1173, 197, 78
-1011, 223, 175
-1061, 87, 416
-1408, 66, 729
-1721, 28, 994
-1996, 250, 1122
-1995, 528, 973
-1464, 19, 345
-1154, -333, -16
-997, -282, -370
-623, -114, -534
-88, 210, -818
176, 471, -881
-87, 434, -456
-87, 434, -456
-167, 370, 88
-213, 87, 154
-961, -301, -190
-1917, -32, 393
-1886, 434, 1140
-1413, 353, 1281
-1313, 111, 1082
-1299, -106, 817
-,-,-
-996, 16, 195
-963, 40, 40
-939, 74, 130
-939, 74, 130
-972, 52, 184
-1090, 68, 275
-1164, 149, 410
-1497, 305, 614
-1501, 299, 706
-1462, 136, 674
-1423, 20, 537
-1498, 14, 512
-1345, -72, 466
-988, -233, 205
-562, -208, -39
-562, -208, -131
-222, 148, -228
-222, 148, -228
-96, 242, -301
-280, 254, -447
-303, 272, -440
-577, 99, -288
-1501, 208, 348
-1893, 418, 794
-1522, 463, 1046
-1273, 204, 920
-1275, -7, 613
-1361, -80, 450
-1117, 179, 159
-,-,-
-867, -11, 96
-936, -39, 141
-1123, -15, 117
-1123, -15, 117
-1081, 125, 73
-1037, 119, 295
-977, -15, 270
-1128, -84, 321
-1690, 26, 905
-1848, 163, 1054
-1625, 195, 622
-1058, 186, 225
-846, -1, 14
-877, -174, 16
-566, -271, -35
-245, -140, -469
-138, -19, -723
-481, 295, -176
-481, 295, -176
-409, 331, -126
-582, 122, -125
-1099, -25, 313
-1839, 280, 587
-1745, 575, 739
-1314, 383, 878
-1305, 63, 537
-1421, -323, 450
-,-,-
-1077, -72, 96
-1341, 118, 147
-1387, 344, 360
-1126, 280, 513
-1151, 78, 558
-1626, 117, 842
-1991, 217, 924
-1652, 117, 516
-1118, -56, 169
-1118, -56, 169
-711, -263, -141
-584, -249, -295
-538, -81, -219
-236, 202, -339
-44, 376, -432
-207, 358, -477
-208, 238, -211
-875, 121, 7
-1452, 247, 168
-1484, 326, 407
-1311, 145, 712
-1370, -43, 723
-1517, -42, 574
-,-,-
-1196, 81, 71
-1169, 140, 69
-1049, 109, 97
-882, -16, 102
-937, -62, 157
-937, -62, 157
-1151, -12, 261
-1433, 135, 528
-1625, 175, 930
-1593, 117, 933
-1390, 198, 559
-1542, 229, 457
-1309, -91, 265
-948, -252, -91
-566, -192, -297
-269, 108, -262
-129, 260, -245
-130, 341, -291
-255, 299, -220
-224, 151, -182
-558, 0, -62
-558, 0, -62
-1087, -46, 54
-1490, 135, 342
-1665, 307, 691
-1482, 297, 960
-1409, 198, 838
-,-,-
-1102, 17, -15
-1423, 182, 221
-1407, 249, 405
-1434, 225, 615
-1403, 160, 741
-1812, 325, 962
-1549, 193, 616
-986, -124, 179
-1028, -210, 5
-932, -197, 38
-532, -44, 29
-210, 235, -141
-68, 397, -277
-68, 397, -277
-90, 321, -246
-137, 342, -181
-173, 168, -218
-1043, 40, 54
-1229, 160, 334
-995, 315, 210
-1120, 39, 537
-1341, -121, 811
-1549, 30, 621
-,-,-
-926, -61, 49
-1202, 41, 115
-1176, 167, 105
-1159, 84, 255
-1315, 22, 483
-1586, 161, 620
-1740, 395, 771
-1852, 445, 948
-1669, 193, 637
-1434, -90, 212
-1327, -195, 3
-1327, -195, 3
-883, -343, -61
-481, -164, -148
-220, 259, -428
88, 429, -572
154, 458, -260
